CityID,Price,DayTypeID,roomtypeID,Shared Room,Private Room,PersonCapID,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
1,847.8429,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,10,98,3,1.2673,1.158,363.9941,19.2737,480.5838,33.4878
1,373.7726,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,98,1,0.9751,1.105,355.6126,18.8299,528.5806,36.8323
1,613.2683,1,2,FALSE,FALSE,2,FALSE,TRUE,FALSE,9,84,1,0.2273,0.4598,562.2653,29.7723,798.4068,55.6341
1,238.324,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,98,1,5.8394,3.8331,73.9162,3.9139,92.5692,6.4504
1,430.2486,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,97,1,3.0295,0.9112,139.935,7.4096,176.9246,12.3284
1,347.9952,1,2,FALSE,FALSE,3,FALSE,FALSE,TRUE,6,77,2,4.4168,0.4468,117.2311,6.2075,148.9524,10.3792
1,330.4197,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,98,1,2.5641,1.2482,167.5542,8.8721,209.1678,14.5751
1,1179.6686,1,2,FALSE,FALSE,2,TRUE,TRUE,FALSE,10,99,2,0.6266,0.5815,542.7479,28.7389,676.5727,47.1446
1,259.1803,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,98,1,5.2415,0.6712,100.4227,5.3174,124.5765,8.6807
1,277.9275,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,97,1,3.8329,2.3918,114.0867,6.041,144.9122,10.0977
1,467.04,1,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,9,96,2,2.3879,1.4304,181.6747,9.6198,225.9475,15.7443
1,583.7415,1,2,FALSE,FALSE,1,TRUE,FALSE,FALSE,10,99,1,2.5728,1.4724,148.9992,7.8896,189.3114,13.1915
1,374.9443,1,1,FALSE,TRUE,2,FALSE,FALSE,TRUE,6,88,1,0.9445,0.7271,320.2399,16.9569,458.1327,31.9233
1,372.3666,1,1,FALSE,TRUE,1,FALSE,FALSE,FALSE,10,97,1,3.8933,0.6574,147.2297,7.7959,179.4898,12.5071
1,479.2257,1,3,TRUE,FALSE,1,TRUE,FALSE,FALSE,10,96,1,1.3772,0.0779,549.513,29.0971,555.0587,38.6773
1,454.8544,1,2,FALSE,FALSE,1,TRUE,FALSE,FALSE,10,98,1,2.2849,1.8276,164.1643,8.6926,210.6928,14.6814
1,206.4537,1,1,FALSE,TRUE,1,FALSE,FALSE,FALSE,9,95,1,6.7928,2.4438,69.0974,3.6588,85.6901,5.971
